nsites,chemsys,volume,density,density_atomic,energy_per_atom,formation_energy_per_atom,is_stable,band_gap,cbm,vbm,efermi,is_gap_direct,is_metal,is_magnetic,ordering,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,energy_above_hull,crystal_system,a,b,c,alpha,beta,gamma,element_1,element_2,element_3,element_4,atomic_num1,atomic_num2,atomic_num3,atomic_num4,element_1_group,element_1_row,element_1_electronegativity,element_1_atomic_radius,element_1_atomic_radius_calculated,element_1_van_der_waals_radius,element_1_mendeleev_no,element_1_molar_volume,element_1_electron_affinity,element_1_ionization_energy,element_1_average_ionic_radius,element_1_coefficient_of_linear_thermal_expansion,element_1_density_of_solid,element_1_boiling_point,element_1_melting_point,element_1_thermal_conductivity,element_2_group,element_2_row,element_2_electronegativity,element_2_atomic_radius,element_2_atomic_radius_calculated,element_2_van_der_waals_radius,element_2_mendeleev_no,element_2_molar_volume,element_2_electron_affinity,element_2_ionization_energy,element_2_average_ionic_radius,element_2_coefficient_of_linear_thermal_expansion,element_2_density_of_solid,element_2_boiling_point,element_2_melting_point,element_2_thermal_conductivity,element_3_group,element_3_row,element_3_electronegativity,element_3_atomic_radius,element_3_atomic_radius_calculated,element_3_van_der_waals_radius,element_3_mendeleev_no,element_3_molar_volume,element_3_electron_affinity,element_3_ionization_energy,element_3_average_ionic_radius,element_3_coefficient_of_linear_thermal_expansion,element_3_density_of_solid,element_3_boiling_point,element_3_melting_point,element_3_thermal_conductivity,element_4_group,element_4_row,element_4_electronegativity,element_4_atomic_radius,element_4_atomic_radius_calculated,element_4_van_der_waals_radius,element_4_mendeleev_no,element_4_molar_volume,element_4_electron_affinity,element_4_ionization_energy,element_4_average_ionic_radius,element_4_coefficient_of_linear_thermal_expansion,element_4_density_of_solid,element_4_boiling_point,element_4_melting_point,element_4_thermal_conductivity,element_1_covalent_radius,element_1_fusion_heat,element_1_atomic_mass,element_1_specific_heat,element_1_evaporation_heat,element_1_dipole_polarizability,element_1_density,element_2_covalent_radius,element_2_fusion_heat,element_2_atomic_mass,element_2_specific_heat,element_2_evaporation_heat,element_2_dipole_polarizability,element_2_density,element_3_covalent_radius,element_3_fusion_heat,element_3_atomic_mass,element_3_specific_heat,element_3_evaporation_heat,element_3_dipole_polarizability,element_3_density,element_4_covalent_radius,element_4_fusion_heat,element_4_atomic_mass,element_4_specific_heat,element_4_evaporation_heat,element_4_dipole_polarizability,element_4_density
10,Ba-Cd-Mo-O,152.17224725980637,6.318198368159635,15.217224725980637,-7.002457366,-2.466738114499999,True,2.5376000000000003,4.6264,2.0888,2.17339806,False,False,False,NM,2.36e-05,1.5508741196223057e-07,2.36e-05,0.0,Cubic,5.992621076111687,5.992621076111687,5.992621076111687,60.00000000000001,60.00000000000001,60.00000000000001,Ba,Cd,Mo,O,56,48,42,8,2,6,0.89,2.15,2.53,2.68,14.0,38.16,0.144626,5.2116646,1.49,2.06e-05,3510.0,2143.0,1000.0,18.0,12,5,1.69,1.55,1.61,2.18,75.0,13.0,-0.72,8.99382,1.09,3.08e-05,8650.0,1040.0,594.22,97.0,6,5,2.16,1.45,1.9,2.17,56.0,9.38,0.74733,7.09243,0.775,4.8e-06,10280.0,4912.0,2896.0,139.0,16,2,3.44,0.6,0.48,1.52,101.0,17.36,1.4611053,13.618055,1.26,,,90.2,54.8,0.02658,196.0,7.66,137.327,0.204,142.0,272.0,3.62,136.0,6.11,112.414,0.232,59.1,46.0,8.69,138.0,28.0,95.95,0.251,590.0,87.0,10.2,63.0,,15.999,0.918,,5.3,0.0013080000000000001
10,Ba-Cd-O-Os,150.60559245646297,7.423540219656888,15.060559245646298,-6.794456515,-2.2205655314999992,True,0.0,,,3.73880317,False,True,True,FM,1.9999981,0.013279706731860963,1.9999981,0.0,Cubic,5.971984871809539,5.971984871809539,5.971984871809539,60.00000000000001,60.00000000000001,60.00000000000001,Ba,Cd,O,Os,56,48,8,76,2,6,0.89,2.15,2.53,2.68,14.0,38.16,0.144626,5.2116646,1.49,2.06e-05,3510.0,2143.0,1000.0,18.0,12,5,1.69,1.55,1.61,2.18,75.0,13.0,-0.72,8.99382,1.09,3.08e-05,8650.0,1040.0,594.22,97.0,16,2,3.44,0.6,0.48,1.52,101.0,17.36,1.4611053,13.618055,1.26,,,90.2,54.8,0.02658,8,6,2.2,1.3,1.85,2.16,63.0,8.42,1.0778013,8.43823,0.673,5.1e-06,22610.0,5285.0,3306.0,88.0,196.0,7.66,137.327,0.204,142.0,272.0,3.62,136.0,6.11,112.414,0.232,59.1,46.0,8.69,63.0,,15.999,0.918,,5.3,0.0013080000000000001,129.0,31.7,190.23,0.13,738.0,57.0,22.5872
10,Ba-Cd-O-Re,151.21949925033945,7.349226321673464,15.121949925033945,-7.155683863,-2.4597182017499994,False,0.0,,,4.26303365,False,True,True,FM,1.0000722,0.006613381243541944,1.0000722,0.0006177507857216824,Cubic,5.980088315521937,5.980088315521937,5.980088315521937,60.00000000000001,60.00000000000001,60.00000000000001,Ba,Cd,O,Re,56,48,8,75,2,6,0.89,2.15,2.53,2.68,14.0,38.16,0.144626,5.2116646,1.49,2.06e-05,3510.0,2143.0,1000.0,18.0,12,5,1.69,1.55,1.61,2.18,75.0,13.0,-0.72,8.99382,1.09,3.08e-05,8650.0,1040.0,594.22,97.0,16,2,3.44,0.6,0.48,1.52,101.0,17.36,1.4611053,13.618055,1.26,,,90.2,54.8,0.02658,7,6,1.9,1.35,1.88,2.16,58.0,8.86,0.06039663,7.83352,0.7124999999999999,6.2e-06,21020.0,5869.0,3459.0,48.0,196.0,7.66,137.327,0.204,142.0,272.0,3.62,136.0,6.11,112.414,0.232,59.1,46.0,8.69,63.0,,15.999,0.918,,5.3,0.0013080000000000001,131.0,34.0,186.207,0.137,704.0,62.0,20.8
20,Ba-Co-Mo-O,276.7660678753778,6.306065383062162,13.838303393768891,-7.613763792,-2.4607038875000002,True,0.0,,,3.72736372,False,True,True,AFM,0.0109821,3.9680081031266515e-05,0.00549105,0.0,Cubic,5.802049716901261,5.805115460626171,10.057977788288609,73.23331918517144,90.02110812782587,119.96271516737762,Ba,Co,Mo,O,56,27,42,8,2,6,0.89,2.15,2.53,2.68,14.0,38.16,0.144626,5.2116646,1.49,2.06e-05,3510.0,2143.0,1000.0,18.0,9,4,1.88,1.35,1.52,2.0,64.0,6.67,0.662265,7.88101,0.7683333333333334,1.3e-05,8900.0,3200.0,1768.0,100.0,6,5,2.16,1.45,1.9,2.17,56.0,9.38,0.74733,7.09243,0.775,4.8e-06,10280.0,4912.0,2896.0,139.0,16,2,3.44,0.6,0.48,1.52,101.0,17.36,1.4611053,13.618055,1.26,,,90.2,54.8,0.02658,196.0,7.66,137.327,0.204,142.0,272.0,3.62,111.00000000000001,15.48,58.933194,0.421,389.1,55.0,8.86,138.0,28.0,95.95,0.251,590.0,87.0,10.2,63.0,,15.999,0.918,,5.3,0.0013080000000000001
20,Ba-Co-Mo-O,277.16717209981965,6.296939520696896,13.858358604990983,-7.604548041000001,-2.451488136500001,False,1.274,4.2504,2.9764,3.06245207,True,False,True,AFM,2.1e-06,7.576654854506725e-09,1.05e-06,0.00921575099998595,Tetragonal,5.73464297956926,9.997354680303285,5.848629903680776,91.28313521068897,119.35313751665913,73.33532129947447,Ba,Co,Mo,O,56,27,42,8,2,6,0.89,2.15,2.53,2.68,14.0,38.16,0.144626,5.2116646,1.49,2.06e-05,3510.0,2143.0,1000.0,18.0,9,4,1.88,1.35,1.52,2.0,64.0,6.67,0.662265,7.88101,0.7683333333333334,1.3e-05,8900.0,3200.0,1768.0,100.0,6,5,2.16,1.45,1.9,2.17,56.0,9.38,0.74733,7.09243,0.775,4.8e-06,10280.0,4912.0,2896.0,139.0,16,2,3.44,0.6,0.48,1.52,101.0,17.36,1.4611053,13.618055,1.26,,,90.2,54.8,0.02658,196.0,7.66,137.327,0.204,142.0,272.0,3.62,111.00000000000001,15.48,58.933194,0.421,389.1,55.0,8.86,138.0,28.0,95.95,0.251,590.0,87.0,10.2,63.0,,15.999,0.918,,5.3,0.0013080000000000001
40,Ba-Co-O-Re,550.1162194885471,7.435115007465413,13.752905487213678,-7.758577483250001,-2.445271169,False,0.19819999999999993,4.5015,4.3033,4.422401,False,False,True,FiM,1.92e-05,3.4901715891690273e-08,4.8e-06,0.04870363224999874,Cubic,8.189724812965634,10.03299240441111,8.195271660736879,114.04858464474346,89.95111893498942,65.93674513482759,Ba,Co,O,Re,56,27,8,75,2,6,0.89,2.15,2.53,2.68,14.0,38.16,0.144626,5.2116646,1.49,2.06e-05,3510.0,2143.0,1000.0,18.0,9,4,1.88,1.35,1.52,2.0,64.0,6.67,0.662265,7.88101,0.7683333333333334,1.3e-05,8900.0,3200.0,1768.0,100.0,16,2,3.44,0.6,0.48,1.52,101.0,17.36,1.4611053,13.618055,1.26,,,90.2,54.8,0.02658,7,6,1.9,1.35,1.88,2.16,58.0,8.86,0.06039663,7.83352,0.7124999999999999,6.2e-06,21020.0,5869.0,3459.0,48.0,196.0,7.66,137.327,0.204,142.0,272.0,3.62,111.00000000000001,15.48,58.933194,0.421,389.1,55.0,8.86,63.0,,15.999,0.918,,5.3,0.0013080000000000001,131.0,34.0,186.207,0.137,704.0,62.0,20.8
30,Ba-Co-O-Ru,414.1780797770336,6.382551866121929,13.805935992567786,-7.093158549666667,-2.0972234021666663,False,0.0,,,3.34113458,False,True,True,FM,15.6349386,0.03774931451808562,5.2116462,0.019201509583334442,Trigonal,5.815299540462984,5.815299540462984,14.142047,90.0,90.0,119.99999477194179,Ba,Co,O,Ru,56,27,8,44,2,6,0.89,2.15,2.53,2.68,14.0,38.16,0.144626,5.2116646,1.49,2.06e-05,3510.0,2143.0,1000.0,18.0,9,4,1.88,1.35,1.52,2.0,64.0,6.67,0.662265,7.88101,0.7683333333333334,1.3e-05,8900.0,3200.0,1768.0,100.0,16,2,3.44,0.6,0.48,1.52,101.0,17.36,1.4611053,13.618055,1.26,,,90.2,54.8,0.02658,8,5,2.2,1.3,1.78,2.13,62.0,8.17,1.0463825,7.3605,0.661,6.4e-06,12370.0,4423.0,2607.0,120.0,196.0,7.66,137.327,0.204,142.0,272.0,3.62,111.00000000000001,15.48,58.933194,0.421,389.1,55.0,8.86,63.0,,15.999,0.918,,5.3,0.0013080000000000001,125.0,25.5,101.07,0.238,,72.0,12.1
10,Ba-Co-O-W,139.77699294262504,7.287421359034614,13.977699294262504,-7.927125534000001,-2.562817617500001,False,1.8426999999999998,4.6578,2.8151,2.87892904,False,False,True,FM,3.0001636,0.021463930056296834,3.0001636,0.01075137550001326,Tetragonal,5.7564605601186045,5.861298041461123,5.8617783395835605,87.94667655128318,60.598301045321676,119.39824689563075,Ba,Co,O,W,56,27,8,74,2,6,0.89,2.15,2.53,2.68,14.0,38.16,0.144626,5.2116646,1.49,2.06e-05,3510.0,2143.0,1000.0,18.0,9,4,1.88,1.35,1.52,2.0,64.0,6.67,0.662265,7.88101,0.7683333333333334,1.3e-05,8900.0,3200.0,1768.0,100.0,16,2,3.44,0.6,0.48,1.52,101.0,17.36,1.4611053,13.618055,1.26,,,90.2,54.8,0.02658,6,6,2.36,1.35,1.93,2.18,55.0,9.47,0.816268,7.86403,0.7666666666666666,4.5e-06,19250.0,5828.0,3695.0,170.0,196.0,7.66,137.327,0.204,142.0,272.0,3.62,111.00000000000001,15.48,58.933194,0.421,389.1,55.0,8.86,63.0,,15.999,0.918,,5.3,0.0013080000000000001,137.0,35.0,183.84,0.132,824.0,68.0,19.3
20,Ba-Co-O-W,279.25444460810326,7.2952381853847035,13.962722230405163,-7.9378769095,-2.5735689929999994,True,0.0,,,3.53353647,False,True,True,FM,6.000052,0.02148596778260873,3.000026,0.0,Cubic,5.8159023343248295,10.088484843699225,5.817863564901896,73.39857837282732,119.92004598625168,106.62868707698054,Ba,Co,O,W,56,27,8,74,2,6,0.89,2.15,2.53,2.68,14.0,38.16,0.144626,5.2116646,1.49,2.06e-05,3510.0,2143.0,1000.0,18.0,9,4,1.88,1.35,1.52,2.0,64.0,6.67,0.662265,7.88101,0.7683333333333334,1.3e-05,8900.0,3200.0,1768.0,100.0,16,2,3.44,0.6,0.48,1.52,101.0,17.36,1.4611053,13.618055,1.26,,,90.2,54.8,0.02658,6,6,2.36,1.35,1.93,2.18,55.0,9.47,0.816268,7.86403,0.7666666666666666,4.5e-06,19250.0,5828.0,3695.0,170.0,196.0,7.66,137.327,0.204,142.0,272.0,3.62,111.00000000000001,15.48,58.933194,0.421,389.1,55.0,8.86,63.0,,15.999,0.918,,5.3,0.0013080000000000001,137.0,35.0,183.84,0.132,824.0,68.0,19.3
20,Ba-Cr-Mo-O,270.2477271734844,6.372916817232361,13.51238635867422,-8.062648444999999,-2.6576254654999985,True,0.0,,,4.55503504,False,True,True,AFM,3e-07,1.1100925922215666e-09,1.5e-07,0.0,Cubic,5.810143686383237,8.005691004861854,5.810002974303628,90.00355658073192,89.99864024980218,90.0001005968862,Ba,Cr,Mo,O,56,24,42,8,2,6,0.89,2.15,2.53,2.68,14.0,38.16,0.144626,5.2116646,1.49,2.06e-05,3510.0,2143.0,1000.0,18.0,6,4,1.66,1.4,1.66,2.06,57.0,7.23,0.6758412,6.76651,0.94,4.9e-06,7140.0,2944.0,2180.0,94.0,6,5,2.16,1.45,1.9,2.17,56.0,9.38,0.74733,7.09243,0.775,4.8e-06,10280.0,4912.0,2896.0,139.0,16,2,3.44,0.6,0.48,1.52,101.0,17.36,1.4611053,13.618055,1.26,,,90.2,54.8,0.02658,196.0,7.66,137.327,0.204,142.0,272.0,3.62,122.0,21.0,51.9961,0.449,342.0,83.0,7.15,138.0,28.0,95.95,0.251,590.0,87.0,10.2,63.0,,15.999,0.918,,5.3,0.0013080000000000001
