,nsites,volume,density,density_atomic,energy_per_atom,formation_energy_per_atom,is_stable,band_gap,efermi,is_gap_direct,is_magnetic,ordering,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,energy_above_hull,a,b,c,alpha,beta,gamma,crystal_Cubic,crystal_Hexagonal,crystal_Monoclinic,crystal_Orthorhombic,crystal_Tetragonal,crystal_Triclinic,crystal_Trigonal,mean_at_num,std_at_num,mean_grp_num,std_grp_num,mean_mend_num,std_mend_num,mean_row_num,std_row_num,mean_atomic_radius,std_atomic_radius,mean_ionic_radius,std_ionic_radius,mean_van_der_waal_radius,std_van_der_waal_radius,mean_atomic_radius_calculated,std_atomic_radius_calculated,mean_covalent_radius,std_covalent_radius,mean_electron_affinity,std_electron_affinity,mean_electronegativity,std_electronegativity,mean_first_ionization_energy,std_first_ionization_energy,mean_dipole_polarizability,std_dipole_polarizability,mean_atomic_mass,std_atomic_mass,mean_density,std_density,mean_molar_volume,std_molar_volume,mean_boiling_point,std_boiling_point,mean_melting_point,std_melting_point,mean_thermal_conductivity,std_thermal_conductivity,mean_specific_heat,std_specific_heat
0,5,57.4514132376898,8.728230081866649,11.49028264753796,-8.232146192000002,-3.6874377910000016,1,4.1024,6.94886555,1,0,0,0.0,0.0,0.0,0.0,3.85863387,3.85863387,3.85863387,90.0,90.0,90.0,1,0,0,0,0,0,0,25.2,31.958723378758418,12.8,5.035871324805669,86.2,20.75957610357206,3.2,1.9390719429665317,1.0,0.5375872022286245,1.143,0.23399999999999999,1.7740000000000002,0.3694103409489237,0.914,0.5846571644989909,100.2,49.3534193344291,1.0332301799999999,0.5246921394446667,2.6060000000000003,1.034090905094905,10.444032000000002,3.8920818644111788,55.339999999999996,76.57875945717585,60.3957077,83.41067063620552,2.5407848,3.8732949315288865,16.926,4.004095902947381,1327.1200000000001,1534.911310011103,484.1740000000001,540.1077761928632,49.415948,92.9078280187366,0.7542,0.3172042874867867
1,5,51.54812640786059,9.206878605801688,10.30962528157212,-21.07904575,-2.305888712999999,0,0.8071000000000002,7.0377947,0,0,0,0.0001327,2.5742933690750887e-06,0.0001327,0.792472744666668,3.721668,3.721668,3.721668,90.0,90.0,90.0,1,0,0,0,0,0,0,23.6,32.720635690646354,12.8,5.035871324805669,87.4,20.538743875904387,3.0,2.0,0.9199999999999999,0.5240229002629561,1.09,0.34,1.7900000000000003,0.37363083384538814,0.852,0.5693996838776783,92.0,47.76609676329017,1.00260783,0.5619820078558189,2.692,0.9631282365292796,10.906482,3.446780207755986,47.88,77.78309327868108,57.1614,84.94307723787736,2.4687848,3.8730120885181036,15.803999999999998,6.050641618869854,1608.72,1870.3388424560935,767.28,930.9721937845405,7.815948000000001,10.654171988434202,0.78,0.33264034632016604
2,5,61.36284504026082,8.848788046728616,12.272569008052164,-8.862593228,-3.136390499,1,2.0031000000000008,6.3647368,0,1,3,2.9999997,0.0488895144615877,2.9999997,0.0,3.9442869,3.94430226,3.9442715,90.0,90.0,90.0,1,0,0,0,0,0,0,27.4,31.41719274537431,11.4,5.71314274283428,81.6,23.92989761783364,3.4,1.9595917942265424,1.0299999999999998,0.5546169849544819,1.1960000000000002,0.12800000000000003,1.818,0.3873189899811266,1.01,0.6555608286040282,99.4,48.95957516155548,1.0818314199999999,0.4758048579377113,2.616,1.0246091937904909,10.6001802,3.722033153476492,60.379999999999995,77.39967441791988,65.39862000000001,81.99463510338711,3.4307848,4.295837134087763,16.372,4.9934412983432575,1357.52,1564.836756214526,733.48,874.2738207220893,21.215948,36.68629136829091,0.6646,0.3273246706253594
4,5,61.79731063258672,8.889999465919495,12.359462126517345,-8.258555312000002,-2.7689578350000006,1,0.9887999999999996,6.50904465,0,1,3,4.2542759,0.0688424116915639,4.2542759,0.0,3.95356962,3.953567500001287,3.953584510001287,90.00009245985731,90.0,90.0,1,0,0,0,0,0,0,27.8,31.38407239349285,11.8,5.3814496188294845,82.4,23.148218073968458,3.4,1.9595917942265424,1.0299999999999998,0.5546169849544819,1.1920000000000002,0.13599999999999998,1.814,0.3848947908195174,0.9899999999999999,0.6366788829543509,98.2,48.461943832248416,0.9773104480000001,0.5957833347973175,2.65,0.9947059867116513,10.82737182,3.509706460347305,56.17999999999999,76.62415807041536,66.1684,81.88318781679179,3.5747848000000007,4.428125411526571,16.344,5.044754106990746,1395.52,1604.7001444506698,659.6800000000001,756.7259223787698,18.415948,31.139256303886512,0.6646,0.3273246706253594
5,5,61.455078293307366,9.31449500321555,12.291015658661474,-22.577488406,-2.9850470185000004,1,2.895900000000001,5.47693479,0,0,0,0.0,0.0,0.0,0.0,3.94626209,3.94626209,3.94626209,90.0,90.0,90.0,1,0,0,0,0,0,0,28.8,31.39044440590162,12.8,5.035871324805669,86.4,20.703622871372055,3.4,1.9595917942265424,1.01,0.5425863986500215,1.1600000000000001,0.2,1.78,0.3706750598570128,0.95,0.6051115599622933,99.8,49.15038148376877,1.0069034000000001,0.5564954467105154,2.646,0.9980300596675433,10.4467386,3.888984066917868,53.779999999999994,76.5922032585563,68.944,81.72126412629703,3.1827848,4.105545267489735,17.286,3.400656407224935,1264.1200000000001,1478.936729410694,358.062,491.9452426601969,8.215948000000001,11.379746146515572,0.6494,0.33855551981912807
10,5,70.19180130743561,7.569207408829243,14.038360261487124,-23.307931165000003,-3.724347496500002,0,3.3847000000000005,5.11443989,1,0,0,7.43e-05,1.0585281844324062e-06,7.43e-05,0.0241400348749998,4.125046,4.125046,4.125046,90.0,90.0,90.0,1,0,0,0,0,0,0,32.0,28.94131994225557,5.6,5.2,41.2,31.939943644283403,4.2,1.6,1.4700000000000002,0.4556314299957807,1.0350000000000001,0.18371173070873836,2.088,0.30986448650982906,1.59,0.5566327334966926,138.6,40.564023469079096,0.47514106,0.4969489477196772,1.7240000000000002,0.8638888817434798,7.736550199999999,2.976127076211659,99.86,62.61627903349096,75.5733448,76.53942353064198,3.7942616,3.311742630842294,16.982,2.9302040884552736,2594.44,1265.28237733717,1363.96,681.642961087401,12.005315999999999,6.1864795351980275,0.5484,0.2534889346697406
14,20,484.8055176451492,5.967646430204268,24.240275882257457,-17.2452842545,-0.1944845730624962,0,0.2964,1.4129369,0,0,0,0.0033129,6.833461830409405e-06,0.000828225,0.0781071964999995,6.992429542632875,6.992429542632875,9.917093,90.0,90.0,91.05071279836852,0,0,0,1,0,0,0,26.0,12.821856339859686,15.2,2.1354156504062622,90.2,9.724196624914574,3.6,0.8,1.15,0.23237900077244505,0.71,0.302258167797001,1.8719999999999999,0.12056533498481221,1.046,0.3028927202822808,110.2,9.867117106835208,2.1798749672,0.6632030093134619,2.526,0.3323612492454558,10.0940148,1.3790704134351373,26.839999999999996,14.093629766671182,56.790440000000004,31.55299735452085,3.96256,3.2931036750154106,15.328,3.0174850455304667,984.1220000000001,740.6727288458783,533.162,354.08011028014556,86.147,171.92650315178287,0.5666,0.18895248079874474
15,5,118.09093879361744,6.124830461748297,23.618187758723487,-17.279898019999997,-0.2290983385624969,0,0.3987,1.40281016,0,0,0,4.85e-05,4.107004355750056e-07,4.85e-05,0.0434934310000016,4.921708553163221,4.980664014931041,4.825298,90.0,90.0,93.27696025222016,0,0,1,0,0,0,0,26.0,12.821856339859686,15.2,2.1354156504062622,90.2,9.724196624914574,3.6,0.8,1.15,0.23237900077244505,0.71,0.302258167797001,1.8719999999999999,0.12056533498481221,1.046,0.3028927202822808,110.2,9.867117106835208,2.1798749672,0.6632030093134619,2.526,0.3323612492454558,10.0940148,1.3790704134351373,26.839999999999996,14.093629766671182,56.790440000000004,31.55299735452085,3.96256,3.2931036750154106,15.328,3.0174850455304667,984.1220000000001,740.6727288458783,533.162,354.08011028014556,86.147,171.92650315178287,0.5666,0.18895248079874474
16,10,233.82701370779407,6.186513420416596,23.38270137077941,-17.275300275,-0.2245005935624959,0,0.3976999999999999,1.67896818,0,0,0,0.0005966,2.551458835058088e-06,0.0002983,0.0480911759999997,6.978889373061016,6.905923242362892,6.864160667407487,60.902965835394646,59.84408841834318,59.25294574626218,0,0,0,1,0,0,0,26.0,12.821856339859686,15.2,2.1354156504062622,90.2,9.724196624914574,3.6,0.8,1.15,0.23237900077244505,0.71,0.302258167797001,1.8719999999999999,0.12056533498481221,1.046,0.3028927202822808,110.2,9.867117106835208,2.1798749672,0.6632030093134619,2.526,0.3323612492454558,10.0940148,1.3790704134351373,26.839999999999996,14.093629766671182,56.790440000000004,31.55299735452085,3.96256,3.2931036750154106,15.328,3.0174850455304667,984.1220000000001,740.6727288458783,533.162,354.08011028014556,86.147,171.92650315178287,0.5666,0.18895248079874474
17,10,247.258550725043,6.4817422363222,24.7258550725043,-3.078653433,-0.2505456424999988,0,0.4136000000000002,2.63467735,0,0,0,0.000498,2.0140860590653023e-06,0.000249,0.0866753019999975,7.115597778248711,7.032828703346399,6.99099549283312,60.97987424594448,59.80033117369699,59.21979458035854,0,0,0,1,0,0,0,29.6,16.764247671756703,15.2,2.1354156504062622,90.0,9.57078889120432,3.8,0.9797958971132712,1.2,0.2529822128134704,0.782,0.3390811112403639,1.8980000000000001,0.12687001221722957,1.0879999999999999,0.29982661656363996,114.0,13.564659966250536,2.1189677832,0.5572106247061926,2.466,0.26978509966267605,9.8215048,1.1231915356287903,29.22,13.910053917940076,66.190534,42.23242811204471,4.3286,3.278880882252358,16.516,5.032747162335895,1009.202,720.0011648157245,557.3720000000001,338.77950477559887,86.2128,171.89362597653235,0.5146,0.2369587305840407
18,5,121.85555000145258,6.576090262229425,24.37111000029052,-3.098510538,-0.2704027474999989,0,0.7261000000000002,2.60157681,0,0,0,4.14e-05,3.397465277495074e-07,4.14e-05,0.0668181969999972,4.957723769604353,4.957723769604353,4.957723388049196,89.90935870178335,89.90935870178335,89.909356802881,0,0,0,0,0,0,1,29.6,16.764247671756703,15.2,2.1354156504062622,90.0,9.57078889120432,3.8,0.9797958971132712,1.2,0.2529822128134704,0.782,0.3390811112403639,1.8980000000000001,0.12687001221722957,1.0879999999999999,0.29982661656363996,114.0,13.564659966250536,2.1189677832,0.5572106247061926,2.466,0.26978509966267605,9.8215048,1.1231915356287903,29.22,13.910053917940076,66.190534,42.23242811204471,4.3286,3.278880882252358,16.516,5.032747162335895,1009.202,720.0011648157245,557.3720000000001,338.77950477559887,86.2128,171.89362597653235,0.5146,0.2369587305840407
19,5,125.72032925181092,6.373934116559119,25.144065850362185,-3.0489332300000003,-0.220825439499999,0,0.6242999999999999,2.49977643,0,0,0,3.08e-05,2.449882225356672e-07,3.08e-05,0.1163955049999971,5.009586,5.009586,5.009586,90.0,90.0,90.0,1,0,0,0,0,0,0,29.6,16.764247671756703,15.2,2.1354156504062622,90.0,9.57078889120432,3.8,0.9797958971132712,1.2,0.2529822128134704,0.782,0.3390811112403639,1.8980000000000001,0.12687001221722957,1.0879999999999999,0.29982661656363996,114.0,13.564659966250536,2.1189677832,0.5572106247061926,2.466,0.26978509966267605,9.8215048,1.1231915356287903,29.22,13.910053917940076,66.190534,42.23242811204471,4.3286,3.278880882252358,16.516,5.032747162335895,1009.202,720.0011648157245,557.3720000000001,338.77950477559887,86.2128,171.89362597653235,0.5146,0.2369587305840407
