iter	RMSE
0	1.500875906
1	1.479791702
2	1.459862991
3	1.438278892
4	1.424277821
5	1.407517707
6	1.39168534
7	1.375326695
8	1.360747145
9	1.348237464
10	1.333649703
11	1.321356898
12	1.308096594
13	1.297604703
14	1.287030754
15	1.276182131
16	1.26538754
17	1.256648982
18	1.247202397
19	1.24027011
20	1.228954042
21	1.222965216
22	1.213754264
23	1.206511436
24	1.198053166
25	1.192720596
26	1.185970068
27	1.179856972
28	1.174231401
29	1.167163317
30	1.160987768
31	1.155955193
32	1.150655793
33	1.144698942
34	1.140587655
35	1.135125958
36	1.130298182
37	1.126905821
38	1.121021857
39	1.116925581
40	1.11284481
41	1.108087971
42	1.103995905
43	1.098106603
44	1.093733222
45	1.089578806
46	1.085933897
47	1.082585311
48	1.079808116
49	1.075541208
50	1.072300294
51	1.068488402
52	1.06358144
53	1.05967184
54	1.056887559
55	1.053715984
56	1.051176653
57	1.047986103
58	1.045883447
59	1.043262476
60	1.039566664
61	1.036685839
62	1.034989095
63	1.032001791
64	1.029805445
65	1.026591213
66	1.023983079
67	1.020948202
68	1.018118509
69	1.015581363
70	1.013209903
71	1.009493952
72	1.006459097
73	1.004235236
74	1.002175908
75	1.000034184
76	0.9979579896
77	0.9954457092
78	0.9933380093
79	0.989833828
80	0.9881948136
81	0.9857494481
82	0.9838474217
83	0.9816908283
84	0.9792591966
85	0.9771004886
86	0.9749624165
87	0.9730095486
88	0.9719401239
89	0.970348118
90	0.9681969816
91	0.9664576338
92	0.9645333438
93	0.9630593718
94	0.9616326377
95	0.9589696436
96	0.9572910596
97	0.9562939305
98	0.9542473262
99	0.9524449674
