iter	Passed	Remaining
0	152	15078
1	158	7771
2	164	5317
3	170	4088
4	176	3345
5	180	2835
6	185	2470
7	190	2186
8	193	1960
9	198	1782
10	202	1640
11	206	1516
12	210	1408
13	214	1319
14	218	1239
15	222	1168
16	226	1106
17	230	1050
18	234	999
19	238	953
20	241	910
21	245	870
22	249	833
23	253	802
24	256	770
25	260	741
26	264	714
27	267	688
28	271	664
29	275	642
30	279	621
31	283	601
32	287	583
33	291	565
34	295	548
35	299	532
36	303	517
37	308	502
38	311	487
39	315	473
40	318	458
41	322	445
42	326	432
43	330	420
44	333	407
45	337	395
46	341	384
47	344	373
48	348	362
49	352	352
50	356	342
51	359	331
52	363	322
53	367	312
54	371	304
55	379	298
56	385	290
57	389	282
58	395	274
59	400	266
60	405	259
61	410	251
62	415	243
63	419	236
64	424	228
65	431	222
66	435	214
67	438	206
68	443	199
69	447	191
70	451	184
71	455	176
72	459	169
73	463	162
74	467	155
75	471	148
76	475	142
77	480	135
78	484	128
79	487	121
80	492	115
81	496	108
82	499	102
83	503	95
84	507	89
85	511	83
86	515	77
87	519	70
88	523	64
89	527	58
90	531	52
91	535	46
92	541	40
93	546	34
94	550	28
95	555	23
96	560	17
97	564	11
98	568	5
99	573	0
